Park Code,Park Name,State,Acres,Latitude,Longitude,Description,Activities,Topics,WeatherInfo
CHIS,Channel Islands National Park,CA,249561,34.01,-119.42,"Channel Islands National Park encompasses five remarkable islands and their ocean environment, preserving and protecting a wealth of natural and cultural resources. Isolation over thousands of years has created unique animals, plants, and archeological resources found nowhere else on Earth and helped preserve a place where visitors can experience coastal southern California as it once was.","['Astronomy', 'Stargazing', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Group Camping', 'Compass and GPS', 'Orienteering', 'Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']","['Architecture and Building', 'Archeology', 'Colonization and Settlement', 'Commerce', 'Trade', 'Explorers and Expeditions', 'Farming and  Agriculture', 'Ranches', 'Maritime', 'Coastal Defenses', 'Maritime - Military', 'Lighthouses', 'Piracy and Privateering', 'Ships and Shipwrecks', 'Military', 'US Navy', 'US Coast Guard', 'Monuments and Memorials', 'Native American Heritage', 'Animals', 'Birds', 'Fish', 'Climate Change', 'Coasts, Islands and Atolls', 'Dunes', 'Estuaries and Mangroves', 'Fire', 'Forests and Woodlands', 'Fossils and Paleontology', 'Geology', 'Grasslands', 'Mountains', 'Natural Sounds', 'Night Sky', 'Astronomy', 'Oceans', 'Whales', 'River and Riparian', 'Scenic Views', 'Thickets and Shrublands', 'Trails', 'Unique Species', 'Rare', 'Endangered', 'Watersheds', 'Wetlands', 'Marshes', 'Wilderness']","In general, the islands have a Mediterranean climate year-round. Temperatures are relatively stable, with highs averaging in the mid-60s (°F) and lows in the low-50s. However, there are seasonal differences that visitors should take into consideration when visiting the park. In addition, visitors also should be aware that ocean and weather conditions vary considerably from day-to-day and island-to-island. For more information visit: http://www.nps.gov/chis/planyourvisit/weather.htm"
CONG,Congaree National Park,SC,26546,33.78,-80.78,"Astonishing biodiversity exists in Congaree National Park, the largest intact expanse of old growth bottomland hardwood forest remaining in the southeastern United States. Waters from the Congaree and Wateree Rivers sweep through the floodplain, carrying nutrients and sediments that nourish and rejuvenate this ecosystem and support the growth of national and state champion trees.","['Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']","['African American Heritage', 'American Revolution', 'Archeology', 'Arts', 'Painting', 'Photography', 'Poetry and Literature', 'Colonization and Settlement', 'Enslavement', 'Explorers and Expeditions', 'Farming and  Agriculture', 'Hispanic American Heritage', 'Incarceration', 'Industry', 'Logging and Timber Cutting', 'Native American Heritage', 'Reconstruction', 'Religion and Spirituality', 'Schools and Education', 'Science, Technology and Innovation', 'Social Movements', 'Conservation Movement', 'Transportation', 'Bridges', 'Roads, Routes and Highways', 'Wars and Conflicts', 'Colonial/European Contact Conflicts', 'American Revolutionary War', 'Civil War', 'Animals', 'Alligators or Crocodiles', 'Birds', 'Cats (wild)', 'Fish', 'Tortoises and Turtles', 'Climate Change', 'Forests and Woodlands', 'Geology', 'Groundwater', 'Lakes', 'Natural Sounds', 'Night Sky', 'Astronomy', 'River and Riparian', 'Scenic Views', 'Trails', 'Water Trails', 'Unique Species', 'Rare', 'Endangered', 'Watersheds', 'Wetlands', 'Swamps', 'Wilderness']","Check the forecast before getting on the road. Conditions can change rapidly within the park. Flooding can happen with little or no warning, so make sure to check water levels for Cedar Creek and the Congaree River."
CRLA,Crater Lake National Park,OR,183224,42.94,-122.1,"Crater Lake inspires awe. Native Americans witnessed its formation 7,700 years ago, when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity—fed by rain and snow, it’s the deepest lake in the USA and one of the most pristine on Earth. Artists, photographers, and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range.","['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'RV Camping', 'Compass and GPS', 'Orienteering', 'Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","['Architecture and Building', 'Arts', 'Painting', 'Photography', 'Poetry and Literature', 'Explorers and Expeditions', 'Native American Heritage', 'Animals', 'Birds', 'Cats (wild)', 'Elk', 'Fish', 'Wolves', 'Climate Change', 'Fire', 'Forests and Woodlands', 'Coniferous Forests', 'Geology', 'Lakes', 'Mountains', 'Natural Sounds', 'Night Sky', 'Scenic Views', 'Trails', 'Unique Species', 'Rare', 'Endangered', 'Volcanoes', 'Watersheds', 'Headwaters', 'Waterfalls', 'Wetlands', 'Wilderness']","Summers at Crater Lake are short but sunny. July, August, and September are your best bets for warm, dry weather. In May, June, and October, sunny days alternate with periods of rain and snow. Winters at Crater Lake are long and snowy. Storms from the Pacific Ocean dump an annual average of 41 feet (13.5 meters) of snow at park headquarters."
CUVA,Cuyahoga Valley National Park,OH,32950,41.24,-81.55,"Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors. The winding Cuyahoga River gives way to deep forests, rolling hills, and open farmlands. Walk or ride the Towpath Trail to follow the historic route of the Ohio & Erie Canal.","['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Biking', 'Mountain Biking', 'Camping', 'Fishing', 'Food', 'Picnicking', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Reenactments', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","['Architecture and Building', 'Arts', 'Colonization and Settlement', 'Farming and  Agriculture', 'Industry', 'Mills', 'Music', 'Native American Heritage', 'Transportation', 'Canals', 'Trains and Railroads', 'Animals', 'Birds', 'Forests and Woodlands', 'Deciduous Forests', 'Lakes', 'River and Riparian', 'Trails', 'Watersheds', 'Waterfalls', 'Wetlands']","Spring's rain and warming temperatures bring new leaves on trees, blooming wildflowers, and visitors anxious get out on the trail. Summer temperatures range from 49 to 95 degrees F and can be humid. Dressing in layers is advisable. Fall temperatures can range from low 70s during the day to freezing during the night. Fall foliage often peaks in mid-October. Winter weather conditions can rapidly change due to the lake effect snow from Lake Erie. Temperatures vary from mid-30s to below zero."
DENA,Denali National Park and Preserve,AK,3372402,63.33,-150.5,"Denali is six million acres of wild land, bisected by one ribbon of road. Travelers along it see the relatively low-elevation taiga forest give way to high alpine tundra and snowy mountains, culminating in North America's tallest peak, 20,310' Denali. Wild animals large and small roam un-fenced lands, living as they have for ages. Solitude, tranquility and wilderness await.","['Arts and Culture', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Mountain Climbing', 'Dog Sledding', 'Flying', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Hunting and Gathering', 'Gathering and Foraging', 'Hunting', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Park Film']","['Archeology', 'Arts', 'Aviation', 'Industry', 'Mining', 'Westward Expansion', 'The Gold Rush', 'Animals', 'Birds', 'Wolves', 'Arctic', 'Tundra', 'Climate Change', 'Fire', 'Forests and Woodlands', 'Coniferous Forests', 'Fossils and Paleontology', 'Dinosaur', 'Geology', 'Glaciers', 'Mountains', 'Natural Sounds', 'Night Sky', 'Aurora Borealis', 'Scenic Views', 'Trails', 'Wilderness']","Summer is typically cool and wet, with highs typically in the upper 50s to low 60s, and lows in the 40s. On occasion, summer highs reach the low 80s, though this is rare. Snow can fall any month of the year, so be prepared for chilly weather even in summer. Fall colors emerge on the alpine tundra in August and in the low valleys in early September. Winter generally starts in mid-September, with temps often getting down to -40 by January. Spring is a short season in April / May, with highs above freezing."
DEVA,Death Valley National Park,"CA, NV",4740912,36.24,-116.82,"In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life thrives in Death Valley.","['Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Canyoneering', 'Food', 'Flying', 'Golfing', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","['Archeology', 'Asian American Heritage', 'Incarceration', 'Japanese-American Internment', 'Industry', 'Mining', 'Native American Heritage', 'Westward Expansion', 'The Gold Rush', ""Women's History"", 'Animals', 'Birds', 'Fish', 'Tortoises and Turtles', 'Climate Change', 'Dunes', 'Foothills, Plains and Valleys', 'Fossils and Paleontology', 'Geology', 'Mountains', 'Night Sky', 'Astronomy', 'Scenic Views', 'Trails', 'Unique Species', 'Endangered', 'Wilderness']","SPRING is the most popular time to visit Death Valley. Warm and sunny days with the possibility of spring wildflowers is a big attraction. SUMMER starts early in Death Valley. By May the valley can be scorching hot. AUTUMN arrives in late October, with warm but pleasant temperatures and generally clear skies. WINTER has cool days, chilly nights and rarely, rainstorms. With snow capping the high peaks and low angled winter light, this season is especially beautiful for exploring the valley."
DRTO,Dry Tortugas National Park,FL,64701,24.63,-82.87,"Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands. Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area.","['Astronomy', 'Stargazing', 'Boating', 'Camping', 'Fishing', 'Guided Tours', 'Paddling', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']","['Architecture and Building', 'African American Heritage', 'Forts', 'Maritime', 'Coastal Defenses', 'Lighthouses', 'Ships and Shipwrecks', 'Military', 'US Army', 'US Navy', 'Wars and Conflicts', 'Civil War', 'Animals', 'Alligators or Crocodiles', 'Birds', 'Fish', 'Tortoises and Turtles', 'Geology', 'Natural Sounds', 'Night Sky', 'Oceans', 'Coral Reefs', 'Unique Species', 'Endangered']","The climate in the Dry Tortugas is subtropical, which basically means that it has warm and tropical weather in the range of 60°F to 90°F. The two main seasons are the winter stormy season from December through March which is windier and sees rougher seas, and the summertime tropical storm season from June through November where there is a higher chance of isolated storms. During the summers it is hot and humid. During the winter the temperature is milder and drier."
EVER,Everglades National Park,FL,1508538,25.32,-80.93,"Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like the manatee, American crocodile, and the elusive Florida panther. An international treasure as well - a World Heritage Site, International Biosphere Reserve, a Wetland of International Importance, and a specially protected area under the Cartagena Treaty.","['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'RV Camping', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Paddling', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']","['Architecture and Building', 'Archeology', 'Arts', 'Colonization and Settlement', 'Military', 'Artillery', 'US Army', 'Armories', 'Native American Heritage', 'Schools and Education', 'Social Movements', 'Conservation Movement', 'Wars and Conflicts', 'Cold War', 'Animals', 'Alligators or Crocodiles', 'Birds', 'Cats (wild)', 'Fish', 'Tortoises and Turtles', 'Climate Change', 'Coasts, Islands and Atolls', 'Estuaries and Mangroves', 'Fire', 'Geology', 'Grasslands', 'Prairies', 'Natural Sounds', 'Night Sky', 'Oceans', 'River and Riparian', 'Scenic Views', 'Trails', 'Water Trails', 'Unique Species', 'Rare', 'Endangered', 'Wetlands', 'Marshes', 'Wilderness']",The climate in Florida is known to be mild and sunny.The average annual temperatures for South Florida and the Keys range from 74° to 77°F (23° to 25°C). There are two seasons at the Everglades National Park: the wet season and the dry season. The wet season runs from Mid-May to November and the dry season runs from December to mid-May.
GAAR,Gates Of The Arctic National Park and Preserve,AK,7523898,67.78,-153.3,"This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for thousands of years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. It remains virtually unchanged except by the forces of nature.","['Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Climbing', 'Rock Climbing', 'Mountain Climbing', 'Hiking', 'Backcountry Hiking', 'Off-Trail Permitted Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Whitewater Rafting']","['Archeology', 'Arts', 'Explorers and Expeditions', 'Military', 'Native American Heritage', 'Westward Expansion', 'The Gold Rush', 'Arctic', 'Tundra', 'Climate Change', 'Fire', 'River and Riparian', 'Trails', 'Water Trails', 'Wilderness']","The climate of Gates of the Arctic National Park & Preserve is generally classified as arctic and sub-arctic, with exceptionally cold winters, relatively mild summers, low annual precipitation, and generally high winds. The weather is influenced by many different systems, and can change rapidly.!!"
GLAC,Glacier National Park,MT,1013572,48.8,-114.0,"A showcase of melting glaciers, alpine meadows, carved valleys, and spectacular lakes. With over 700 miles of trails, Glacier is a paradise for adventurous visitors seeking wilderness steeped in human history. Relive the days of old through historic chalets, lodges, and the famous Going-to-the-Sun Road.","['Arts and Culture', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'Climbing', 'Mountain Climbing', 'Fishing', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Paddling', 'Canoe or Kayak Camping', 'Stand Up Paddleboarding', 'Whitewater Rafting', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']","['Architecture and Building', 'Archeology', 'Arts', 'Photography', 'Colonization and Settlement', 'Engineering', 'Great Depression', 'Music', 'Native American Heritage', 'Schools and Education', 'Science, Technology and Innovation', 'Transportation', 'Roads, Routes and Highways', 'Trains and Railroads', 'Westward Expansion', 'Homesteading', 'Animals', 'Birds', 'Cats (wild)', 'Elk', 'Fish', 'Climate Change', 'Fire', 'Forests and Woodlands', 'Coniferous Forests', 'Rainforest', 'Fossils and Paleontology', 'Geology', 'Glaciers', 'Grasslands', 'Lakes', 'Mountains', 'Natural Sounds', 'Night Sky', 'River and Riparian', 'Rock Landscapes and Features', 'Scenic Views', 'Trails', 'Watersheds', 'Headwaters', 'Waterfalls', 'Wetlands', 'Wilderness']","Glacier's weather is highly variable and can be extreme. Expect warm sunny summer days and in the winter the temperatures can fall well below freezing. Glacier's geography, straddling the Continental Divide, sets the stage for clashes of two very different climates. Warm, wet Pacific air moves in from the west, and cold dry Arctic air from the northeast. They meet at the Divide."
GLBA,Glacier Bay National Park and Preserve,AK,3224840,58.5,-137.0,"Covering 3.3 million acres of rugged mountains, dynamic glaciers, temperate rainforest, wild coastlines and deep sheltered fjords, Glacier Bay National Park is a highlight of Alaska's Inside Passage and part of a 25-million acre World Heritage Site—one of the world’s largest international protected areas. From sea to summit, Glacier Bay offers limitless opportunities for adventure and inspiration.","['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'ATV Off-Roading', 'Boating', 'Motorized Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Climbing', 'Mountain Climbing', 'Fishing', 'Food', 'Flying', 'Guided Tours', 'Boat Tour', 'Hiking', 'Front-Country Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Kayaking', 'Whitewater Rafting', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']","['Architecture and Building', 'Colonization and Settlement', 'Explorers and Expeditions', 'Ancient Seas', 'Animals', 'Birds', 'Fish', 'Climate Change', 'Coasts, Islands and Atolls', 'Forests and Woodlands', 'Rainforest', 'Geology', 'Glaciers', 'Mountains', 'Natural Sounds', 'Oceans', 'Whales', 'Wilderness']","Summer temperatures average 50° to 60° F (10° to 15° C). Rain is the norm in lush southeast Alaska. It is best to be prepared to enjoy the park in any kind of weather, especially rain. Suggested clothing includes waterproof boots, rain gear, a hat, gloves, wool or pile layers or a warm coat. Good rain gear is essential here. April, May and June are usually the driest months of the year. September and October tend to be the wettest."
GRBA,Great Basin National Park,NV,77180,38.98,-114.3,"From the 13,063-foot summit of Wheeler Peak, to the sage-covered foothills, Great Basin National Park is a place to sample the stunning diversity of the larger Great Basin region. Come and partake of the solitude of the wilderness, walk among ancient bristlecone pines, bask in the darkest of night skies, and explore mysterious subterranean passages. There's a whole lot more than just desert here!","['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Caving', 'Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Gathering and Foraging', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","['Animals', 'Birds', 'Caves, Caverns and Karst', 'Night Sky', 'Astronomy']","There is almost an 8,000 ft (2,400 m) difference in elevation between Wheeler Peak and the valley floor. Weather conditions in the park vary with elevation. In late spring and early summer, days in the valley may be hot, yet the snow pack may not have melted in the higher elevations. The Great Basin is a desert, with low relative humidity and sharp drops in temperature at night. In the summer, fierce afternoon thunderstorms are common. It can snow any time of the year at high elevations."
GRCA,Grand Canyon National Park,AZ,1217403,36.06,-112.14,"Grand Canyon National Park, in northern Arizona, encompasses 278 miles (447 km) of the Colorado River and adjacent uplands. Located on the ancestral homeland of 11 Associated Tribes, Grand Canyon is one of the most spectacular examples of erosion anywhere in the world—unmatched in the incomparable vistas it offers visitors on the rim. South Rim and North Rim are open 24 hours. Daily updates >","['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Compass and GPS', 'Fishing', 'Food', 'Flying', 'Guided Tours', 'Hands-On', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Living History', 'Paddling', 'Whitewater Rafting', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']","['Architecture and Building', 'Archeology', 'Ruins', 'Aviation', 'Native American Heritage', 'Schools and Education', 'Transportation', 'Trains and Railroads', 'Animals', 'Birds', 'Bison', 'Cats (wild)', 'Elk', 'Fish', 'Caves, Caverns and Karst', 'Fire', 'Fossils and Paleontology', 'Geology', 'Groundwater', 'Freshwater Springs', 'Grasslands', 'Night Sky', 'River and Riparian', 'Scenic Views', 'Trails', 'Unique Species', 'Endangered', 'Watersheds']","This weather varies with cold winters and mild pleasant summers, moderate humidity, and considerable diurnal temperature changes at the higher elevations, with hot and drier summers at the bottom of the Grand Canyon along with cool damp winters. Summer thunderstorms and winter snowfall adds to the weather variety in this region."
GRSA,Great Sand Dunes National Park and Preserve,CO,42984,37.73,-105.51,"Open 24/7 year round! There are no limitations or reservations to visit, but there is currently limited capacity in the visitor center. The tallest dunes in North America are the centerpiece in a diverse landscape of grasslands, wetlands, forests, alpine lakes, and tundra. Stay on a moonless night to experience this International Dark Sky Park's starry skies!","['Arts and Culture', 'Craft Demonstrations', 'Live Music', 'Auto and ATV', 'Auto Off-Roading', 'Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Climbing', 'Mountain Climbing', 'Compass and GPS', 'Orienteering', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Hands-On', 'Arts and Crafts', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Junior Ranger Program', 'Tubing', 'River Tubing', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Snow Play', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Water Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","['African American Heritage', 'Archeology', 'Arts', 'Painting', 'Photography', 'Sculpture', 'Asian American Heritage', 'Colonization and Settlement', 'Explorers and Expeditions', 'Farming and  Agriculture', 'Ranches', 'Hispanic American Heritage', 'Latino American Heritage', 'Military', 'Infantry and Militia', 'Native American Heritage', 'Science, Technology and Innovation', 'Westward Expansion', 'Homesteading', 'The Gold Rush', 'Ancient Seas', 'Animals', 'Birds', 'Bison', 'Cats (wild)', 'Elk', 'Fish', 'Arctic', 'Tundra', 'Climate Change', 'Dunes', 'Fire', 'Foothills, Plains and Valleys', 'Forests and Woodlands', 'Coniferous Forests', 'Deciduous Forests', 'Geology', 'Mineral Deposits', 'Groundwater', 'Aquifers', 'Freshwater Springs', 'Grasslands', 'Prairies', 'Meadows', 'Impact Craters', 'Lakes', 'Mountains', 'Natural Sounds', 'Night Sky', 'Astronomy', 'Aurora Borealis', 'River and Riparian', 'Rock Landscapes and Features', 'Scenic Views', 'Trails', 'Unique Species', 'Volcanoes', 'Wetlands', 'Wilderness']","Temperatures are relatively cool all year, thanks to the park and preserve's high elevation. Conditions are most often calm, but winds can arise, especially in spring and during storm fronts. Daytime temperatures feel warmer here year round due to intense high-altitude sunlight, and a scorching mid-day summer sand surface. Plan to explore the dunes morning or evening during summer. Nights are cool in summer, and frigid in winter. Visit the Great Sand Dunes website for the most accurate weather forecasts."
GRSM,Great Smoky Mountains National Park,"TN, NC",521490,35.68,-83.53,"Ridge upon ridge of forest straddles the border between North Carolina and Tennessee in Great Smoky Mountains National Park. World renowned for its diversity of plant and animal life, the beauty of its ancient mountains, and the quality of its remnants of Southern Appalachian mountain culture, this is America's most visited national park. Plan your visit today!","['Arts and Culture', 'Live Music', 'Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hands-On', 'Citizen Science', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",[],"Elevations in the park range from approximately 875 feet to 6,643 feet and the topography can drastically affect local weather. Temperatures can vary by 10-20 degrees Fahrenheit from mountain base to top, and clear skies lower down do not guarantee equally pleasant weather at higher elevations."
